name,address,city,state,zip,county,latitude,longitude
Tribeca Flashpoint Media Arts Academy,28 North Clark Street,Chicago,IL,60602,Cook,41.88286,-87.631319
Future-Tech Institute,3446 SW 8th St Ste 218,Miami,FL,33135,Miami-Dade,25.764555,-80.251528
WellSpring School of Allied Health,947 New Hampshire,Lawrence,KS,66045,Douglas,38.965848,-95.235123
Hawaii Medical College,1221 Kapiolani Boulevard,Honolulu,HI,96814,Honolulu,21.295112,-157.847678
Marchman Technical Education Center,7825 Campus Dr.,New Port Richey,FL,34653,Pasco,28.271196,-82.691779
Art Institute of Wisconsin (The),"320 East Buffalo Street, Suite 100",Milwaukee,WI,53202,Milwaukee,43.033318,-87.906279
Carolina College of Hair Design,85 Tunnel Road,Asheville,NC,28805,Buncombe,35.592354,-82.534832
Eureka Institute of Health and Beauty,11373 West Flagler St suite #209,Miami,FL,33174,Miami-Dade,25.769799,-80.380766
Virginia College-Baton Rouge,9501 Cortana Place,Baton Rouge,LA,70815,East Baton Rouge,30.459888,-91.097968
The Salon Professional Academy-Ft Myers,13422 N Cleveland Ave,North Fort Myers,FL,33903,Lee,26.664097,-81.884372
Brown Mackie College-Birmingham,"105 Vulcan Road, Suite 100",Birmingham,AL,35209,Jefferson,33.467909,-86.828581
Remington College,500 International Parkway,Heathrow,FL,33612,Seminole,28.766389,-81.362156
SOLEX College,"350 E Dundee Rd., Ste. 200",Wheeling,IL,60090,Cook,42.14041,-87.906669
Regina's College of Beauty,1631 Gordon Highway,Augusta,GA,30906,Richmond,33.440646,-82.013127
College of Massage Therapy,98 Poplar Street,Blackfoot,ID,83221,Bingham,43.193015,-112.347003
Unity Cosmetology College,24 Vermillion Plaza,Pontiac,IL,61764,Livingston,40.878735,-88.636004
New York Film Academy,"100 Universal City Plaza, Building 9128 / Suite 179",Universal City,CA,91608,New York,34.152072,-118.335566
Universal Spa Training Academy,340 Burlington Ave,Downers Grove,IL,60515,DuPage,41.796008,-87.99384
Manuel and Theresa's School of Hair Design,1405 East North,Victoria,TX,77902,Victoria,28.799939,-96.991642
Miller-Motte College,1291 Hargett Street,Jacksonville,NC,28540,Onslow,34.751443,-77.414322
The Salon Professional Academy-Evansville,5545 Vogel Rd,Evansville,IN,47715,Vanderburgh,37.987268,-87.483671
Coast Career Institute,1250 E. Cooley Drive,Colton,CA,92324,San Bernardino,34.054025,-117.307612
Miller-Motte Technical College,621 NW Frontage Road,Augusta,GA,30907,Richmond,33.494994,-82.086986
Tri County Regional Vocational Technical High School,147 Pond St,Franklin,MA,02038,Norfolk,42.094957,-71.421577
Tricoci University of Beauty Culture,6458 North Sheridan Road,Chicago,IL,60626,Cook,41.99994,-87.661037
Miller-Motte Technical College,2541 Highway 501 East,Conway,SC,29526,Horry,33.784697,-78.990013
Compass College of Cinematic Arts,41 Sheldon Blvd SE,Grand Rapids,MI,49503,Kent,42.975591,-85.682041
ITT Technical Institute-Bradenton,8039 Cooper Creek Boulevard,Bradenton,FL,34201,Manatee,27.39752,-82.452229
Virginia College-Macon,1901 Paul Walsh Drive,Macon,GA,31206,Bibb,32.812683,-83.679622
Nova Academy of Cosmetology,1629 N Broadway Ste 7,Rochester,MN,55906,Olmsted,44.040162,-92.463848
ITT Technical Institute-Phoenix West,"1840 North 95th Avenue, Suite 132",Phoenix,AZ,85037,Maricopa,33.46768,-112.264919
ITT Technical Institute-Brooklyn Center,"6120 Earle Brown Drive, Suite 100",Brooklyn Center,MN,55430,Hennepin,45.066994,-93.301809
Victory Trade School,1715 N Boonville Ave,Springfield,MO,65803,Greene,37.22932,-93.292274
ITT Technical Institute-Orlando,"8301 South Park Circle, Suite 100",Orlando,FL,32819,Orange,28.447175,-81.420453
Starting Points Inc,2737 Kennedy Blvd,Jersey City,NJ,07306,Hudson,40.729718,-74.069555
ITT Technical Institute-Waco,"3700 S. Jack Kultgen Expressway, Suite 100",Waco,TX,76706,McLennan,31.512359,-97.13923
The Lab-Paul Mitchell Partner School,25 Scotch Rd,Ewing,NJ,08628,Mercer,40.265713,-74.802664
ITT Technical Institute-Myrtle Beach,"9654 North King's Highway, Suite 101",Myrtle Beach,SC,29572,Horry,33.77509,-78.792601
SAE Institute of Technology-New York,1293 Broadway 9th Floor,New York,NY,10001,New York,40.749635,-73.988504
University of Phoenix-Knoxville Campus,10133 Sherrill Boulevard,Knoxville,TN,37932,Knox,35.921665,-84.127738
Azusa Pacific Online University,511 W Citrus Edge St,Glendora,CA,91740,Los Angeles,34.119415,-117.871181
John Paolo's Xtreme Beauty Institute-Goldwell Pro,638 Columbia St Extension,Latham,NY,12110,Albany,42.761774,-73.754603
Minneapolis Media Institute,4100 W 76th Street,Edina,MN,55435,Hennepin,44.866037,-93.33144
CollegeAmerica-Phoenix,9801 N. Metro Parkway East,Phoenix,AZ,85051,Maricopa,33.574471,-112.121033
CollegeAmerica-Stevens Henager College,901 Pier View Drive,Idaho Falls,ID,83402,Bonneville,43.468945,-111.991016
Avalon School of Cosmetology-Phoenix,1107 E Bell Rd Ste 104,Phoenix,AZ,85022,Maricopa,33.639419,-112.058088
Avalon School of Cosmetology-Layton,1992 W Antelope Dr,Layton,UT,84041,Davis,41.089916,-112.00364
Hair Design Institute,552 E Woolbright Rd,Boynton Beach,FL,33435,Palm Beach,26.513536,-80.059887
Hair Design Institute,2289 E Semoran Blvd,Apopka,FL,32703,Orange,28.673577,-81.469118
University of Phoenix-Baton Rouge,2431 S Acadian Thruway,Baton Rouge,LA,70808,East Baton Rouge,30.422403,-91.150412
University of Phoenix-Lafayette Campus,425 Settlers Trace Blvd,Lafayette,LA,70508,Lafayette,30.190233,-92.008094
University of Phoenix-Shreveport-Bossier Campus,350 Plaza Loop Dr,Bossier City,LA,71111,Bossier,32.517674,-93.738214
Eternity Cosmetology School,"4698 Forest Hill Boulevard, Suite C",West Palm Beach,FL,33415,Palm Beach,26.650256,-80.114065
All-State Career School-Allied Health Campus,50 W Powhattan Ave,Essington,PA,19029,Delaware,39.866161,-75.302146
Tri-State Institute of Hair Design,"195 Commercial Drive, Suite 100",London,KY,40744,Laurel,37.102754,-84.065871
Aveda Institute Des Moines,6905 Mills Civic Pkwy Suite 120,West Des Moines,IA,50266,Dallas,41.562675,-93.802586
Vogue College-San Antonio,1836 Fredericksburg Road,San Antonio,TX,78201,Bexar,29.462369,-98.523501
Fortis Institute-Lawrenceville,"2572 Brunswick Pike, Suite 100",Lawrenceville,NJ,08648,Mercer,40.260809,-74.719094
Vogue Beauty Academy,6012 Ingram Road,San Antonio,TX,78238,Bexar,29.465459,-98.603849
Relay Graduate School of Education,"40 W 20th St, 6th Fl",New York,NY,10011,New York,40.740509,-73.993411
Brown Mackie College-Oklahoma City,"7101 NW Expressway, Suite 800",Oklahoma City,OK,73132,Oklahoma,35.559963,-97.639728
Tomorrow's Image Barber Academy of Virginia,"13641 Warwick Boulevard, Suite C",Newport News,VA,23602,Newport News,37.118671,-76.525193
Sanford-Brown College-Austin,9001 N IH-35 #105,Austin,TX,78753,Travis,30.353011,-97.688721
Excel Learning Center,1220 Lomaland Drive,El Paso,TX,79907,El Paso,31.741845,-106.332267
College of International Esthetics Inc,"7330 West 52nd Avenue, Suite T",Arvada,CO,80002,Jefferson,39.790584,-105.075943
Medical Allied Career Center,12631 East Imperial Highway,Santa Fe Springs,CA,90670,Los Angeles,33.917711,-118.062951
Bais HaMedrash and Mesivta of Baltimore,6823 Old Pimlico Road,Baltimore,MD,21209,Baltimore,39.379211,-76.674851
Long Island Barber Institute (The),266 Greenwich Street,Hempstead,NY,11550,Nassau,40.699735,-73.615268
Toni & Guy Hairdressing Academy,3034 Wilford Drive,Toledo,OH,43615,Lucas,41.674844,-83.696992
American Institute of Medical Sonography,"5450 W Sahara Ave, #320",Las Vegas,NV,89146,Clark,36.145458,-115.216073
Destination Academy for Spa and Salon Professionals,4280 South Hualapai Way,Las Vegas,NV,89147,Clark,36.1121,-115.314243
Classic Cooking Academy,10411 East McDowell Mtn Ranch Road,Scottsdale,AZ,85255,Maricopa,33.627047,-111.855485
School of Court Reporting (The),5000 Atrium Way - Suite 3,Mount Laurel,NJ,08054,Burlington,39.915977,-74.955074
Curve Metric School of Hair Design,7645 West Belmont Avenue,Elmwood Park,IL,60707,Cook,41.937678,-87.818728
Athena Career Academy,5700 Monroe Street,Sylvania,OH,43560,Lucas,41.71146,-83.676315
Miller-Motte Technical College-Macon,175 Tom Hill Sr Blvd,Macon,GA,31210,Bibb,32.897821,-83.687065
Miller-Motte Technical College-Gulfport,12121 Hwy 49 N,Gulfport,MS,39503,Harrison,30.460138,-89.102104
International Academy of Medical Reflexology,2200 North Irving Street,Allentown,PA,18109,Lehigh,40.63999,-75.448896
South University√Savannah Online,709 Mall Blvd,Savannah,GA,31406,Chatham,31.999481,-81.105531
Fortis College-Montgomery,3470 Eastdale Cir,Montgomery,AL,36117,Montgomery,32.384054,-86.201815
Western Shores Institute Inc,10383 Southern Maryland Blvd,Dunkirk,MD,20754,Calvert,38.720594,-76.659163
San Joaquin Valley College-Temecula,27270 Madison Ave Ste 305,Temecula,CA,92590,Riverside,33.525828,-117.166503
Rio Grande Bible Institute,4300 S US Hwy 281,Edinburg,TX,78539,Hidalgo,26.260467,-98.172527
Miller-Motte Technical College,4444 Electric Rd SW,Roanoke,VA,24018,Roanoke,37.232815,-79.976844
Whitworth University-Adult Degree Programs,300 W Hawthorne Rd,Spokane,WA,99251,Spokane,47.753308,-117.417185
The Santa Barbara and Ventura Colleges of Law√Santa Barbara,20 E Victoria St,Santa Barbara,CA,93101,Santa Barbara,34.424495,-119.705191
The University of America,38397 Innovation Court,Murrieta,CA,92563,Riverside,33.560482,-117.133812
Kaplan College-Chesapeake,1987 South Military Highway,Chesapeake,VA,23320,Chesapeake,36.787591,-76.256032
American Broadcasting School-Online Program,4511 SE 29th St,Oklahoma City,OK,73115,Oklahoma,35.435751,-97.43732
Springfield College-School of Human Services,Springfield College - School of Human Services,Springfield,MA,01109,Hampden,42.09644,-72.590744
Marian Health Careers Center-Van Nuys Campus,5900 Sepulveda Blvd Ste 101,Van Nuys,CA,91411,Los Angeles,34.177477,-118.465555
Brown College-Brooklyn Center,5951 Earle Brown Dr,Brooklyn Center,MN,55430,Hennepin,45.064911,-93.306035
Grace College of Divinity,5117 Cliffdale Road,Fayetteville,NC,28314,Cumberland,35.058616,-78.961305
Cosmetology College of Franklin County,570 S Main St,Saint Clair,MO,63077,Franklin,38.34412,-90.981602
Rochester School of Hair Design,4229 Highway 52 North,Rochester,MN,55901,Olmsted,44.067637,-92.504386
Aveda Institute of New Mexico (The),1816 Central Ave SW,Albuquerque,NM,87104,Bernalillo,35.110248,-106.559524
Nashville Barber and Style Academy,2603 Jefferson Street,Nashville,TN,37208,Davidson,36.167896,-86.817154
American Trade School,3925 Industrial Drive,Saint Ann,MO,63074,St. Louis,38.728761,-90.380252
Estelle Skin Care and Spa Institute,"10024 Skokie Blvd, #301",Skokie,IL,60077,Cook,42.039157,-87.746632
