county,median_sale_price,ppsf_year_avg,property_type,state,year
Fulton,169000.0,77.35474584936117,Single Family Residential,New York,2021
Douglas,245000.0,129.0915024658039,Townhouse,Georgia,2021
Grand Isle,340000.0,186.9232457198742,All Residential,Vermont,2021
Sagadahoc,340000.0,175.55020122092236,Multi-Family (2-4 Unit),Maine,2021
Fayette,156950.0,98.59141695585674,Single Family Residential,Ohio,2021
Macon,254900.0,144.733888704591,Single Family Residential,Tennessee,2021
Ottawa,260000.0,174.45490817880042,Condo/Co-op,Michigan,2021
Jefferson,325900.0,195.27082148738043,All Residential,Oregon,2021
Prairie,148000.0,84.46089805947804,All Residential,Arkansas,2021
Middlesex,435000.0,228.95805007040613,Single Family Residential,New Jersey,2021
Lane,370000.0,244.3786904081713,Townhouse,Oregon,2021
Miami-Dade,450000.0,271.5487150047128,Single Family Residential,Florida,2021
Essex,331000.0,293.00660050134536,Condo/Co-op,Massachusetts,2021
Pontotoc,165000.0,95.17800496860394,All Residential,Oklahoma,2021
Tate,215000.0,107.63989487897116,Single Family Residential,Mississippi,2021
Madison,172152.5,123.07992548001091,Single Family Residential,Arkansas,2021
Greene,146500.0,107.78786006267208,All Residential,Iowa,2021
Wise,125000.0,147.20152716827818,Condo/Co-op,Texas,2021
Dickson,245100.0,175.78796180375602,Condo/Co-op,Tennessee,2021
Delaware,212500.0,158.16509765202272,Multi-Family (2-4 Unit),Pennsylvania,2021
Newport,561000.0,298.19135470769777,Single Family Residential,Rhode Island,2021
Benton,155000.0,121.92971917493084,Townhouse,Minnesota,2021
Tolland,120000.0,134.26654904557282,Condo/Co-op,Connecticut,2021
Livingston Parish,141000.0,129.66323343517962,Townhouse,Louisiana,2021
Mariposa,422500.0,287.401426491756,All Residential,California,2021
Washoe,524000.0,277.62764056189064,Single Family Residential,Nevada,2021
Smith,140900.0,78.59944816143484,All Residential,Mississippi,2021
Lane,432000.0,244.3786904081713,Single Family Residential,Oregon,2021
Gem,325000.0,234.2715312420287,All Residential,Idaho,2021
Kern,335000.0,158.45126301691903,Single Family Residential,California,2021
Brown,159000.0,109.13388658088076,Condo/Co-op,Ohio,2021
Vernon,120000.0,73.95449242169657,Single Family Residential,Missouri,2021
Campbell,180682.0,133.48413571240772,All Residential,Kentucky,2021
Craighead,179900.0,107.44066045639492,All Residential,Arkansas,2021
Pickaway,230000.0,139.64221678262962,Condo/Co-op,Ohio,2021
Franklin,133000.0,110.86853179332266,Condo/Co-op,Pennsylvania,2021
Towns,390000.0,159.35343256024333,All Residential,Georgia,2021
Burlington,215000.0,150.52084524506296,Townhouse,New Jersey,2021
Buncombe,355000.0,219.3312104855607,Condo/Co-op,North Carolina,2021
Hopewell,184000.0,121.69722406232314,All Residential,Virginia,2021
Queens,760000.0,504.1536279053526,Townhouse,New York,2021
Waldo,265000.0,151.54278708996225,Multi-Family (2-4 Unit),Maine,2021
Orange,109000.0,93.95957403533272,All Residential,Indiana,2021
Elmore,257900.0,173.626667478472,Townhouse,Idaho,2021
Allegheny,241152.5,141.5468889492326,Single Family Residential,Pennsylvania,2021
Butler,153000.0,109.51293090381192,Townhouse,Ohio,2021
Washoe,329000.0,277.62764056189064,Townhouse,Nevada,2021
Hennepin,222000.0,188.28416554430004,Condo/Co-op,Minnesota,2021
Oklahoma,220000.0,111.32367440789922,All Residential,Oklahoma,2021
Citrus,237750.0,132.1561917313233,All Residential,Florida,2021
Giles,142000.0,123.4758406960011,Multi-Family (2-4 Unit),Tennessee,2021
Kendall,480000.0,200.5451854534417,Single Family Residential,Texas,2021
Marion,350000.0,119.38540926221977,Multi-Family (2-4 Unit),Florida,2021
Hancock,149000.0,193.811758714968,Condo/Co-op,Maine,2021
Tattnall,227450.0,93.17608433874676,Single Family Residential,Georgia,2021
Cannon,299900.0,166.7369107705285,All Residential,Tennessee,2021
Toombs,171500.0,79.11980038961312,All Residential,Georgia,2021
Van Buren,134900.0,82.47564709749628,Townhouse,Arkansas,2021
Morgan,145000.0,112.37764514359492,Single Family Residential,Tennessee,2021
Decatur,227500.0,112.78382357250632,Single Family Residential,Tennessee,2021
Livingston Parish,215000.0,129.66323343517962,Single Family Residential,Louisiana,2021
Walworth,239900.0,155.2985647875565,Multi-Family (2-4 Unit),Wisconsin,2021
Le Sueur,267500.0,134.8562763111491,Single Family Residential,Minnesota,2021
Okaloosa,287205.0,224.5628284557509,Single Family Residential,Florida,2021
Rockcastle,123500.0,91.95557585064826,Single Family Residential,Kentucky,2021
Union,347500.0,284.8760833376176,Condo/Co-op,New Jersey,2021
Macomb,183000.0,133.53522153783038,All Residential,Michigan,2021
Wayne,317500.0,169.0115448771057,All Residential,Utah,2021
Clark,144000.0,89.06678035182311,Single Family Residential,Ohio,2021
Orange,475000.0,200.2220395834089,Single Family Residential,North Carolina,2021
Mille Lacs,310000.0,151.22667605403,Single Family Residential,Minnesota,2021
Camden,244900.0,135.39720368344734,All Residential,New Jersey,2021
Oneida,163950.5,93.57116353061852,All Residential,New York,2021
Livingston Parish,220435.0,129.66323343517962,All Residential,Louisiana,2021
Laurens,144500.0,82.18709928648332,Single Family Residential,Georgia,2021
Lander,290000.0,146.76467641161685,Single Family Residential,Nevada,2021
Rock,173800.0,112.02637623673594,Condo/Co-op,Wisconsin,2021
Escambia,426000.0,188.773025782255,Condo/Co-op,Florida,2021
Nassau,720000.0,381.8411581419943,Multi-Family (2-4 Unit),New York,2021
Baylor,253000.0,72.56526607489147,All Residential,Texas,2021
Orange,600000.0,495.3668036029959,Condo/Co-op,California,2021
Norfolk,266000.0,162.93075091187276,All Residential,Virginia,2021
Independence,160000.0,88.36599183883749,Single Family Residential,Arkansas,2021
Sussex,290000.0,172.7158826050948,Multi-Family (2-4 Unit),New Jersey,2021
Orangeburg,186000.0,107.08987408729983,Single Family Residential,South Carolina,2021
St. Clair,167750.0,87.73927447205517,All Residential,Illinois,2021
Asotin,259900.0,152.59829099638557,Single Family Residential,Washington,2021
Dougherty,175000.0,49.05636026175375,Single Family Residential,Georgia,2021
Onondaga,182000.0,115.00778037106556,All Residential,New York,2021
Hendricks,305374.0,132.25346095615862,All Residential,Indiana,2021
Franklin,100000.0,147.4411133982902,Multi-Family (2-4 Unit),Tennessee,2021
Washington,240000.0,135.26759207417746,All Residential,Nebraska,2021
Madison,204750.0,98.57170326133858,All Residential,New York,2021
Ferry,235000.0,146.6693917551077,Single Family Residential,Washington,2021
Erie,180000.0,132.1110940765676,Single Family Residential,Ohio,2021
Ogle,165000.0,92.91160875898932,Single Family Residential,Illinois,2021
Jo Daviess,245000.0,105.48458532501304,All Residential,Illinois,2021
Rock,217000.0,112.02637623673594,All Residential,Wisconsin,2021
San Jacinto,131500.0,132.4865615973414,Townhouse,Texas,2021
Hendricks,216500.0,132.25346095615862,Condo/Co-op,Indiana,2021
Chautauqua,304950.0,136.75029793216785,Townhouse,New York,2021
Genesee,105000.0,110.2916914569714,Multi-Family (2-4 Unit),Michigan,2021
White,277000.0,145.15256856466445,Single Family Residential,Tennessee,2021
Davis,476250.0,208.68150129663,Multi-Family (2-4 Unit),Utah,2021
King,784125.0,448.7826199111487,All Residential,Washington,2021
Piscataquis,120000.0,103.3692871907787,Condo/Co-op,Maine,2021
Burke,247450.0,124.29602402322216,All Residential,North Carolina,2021
Scott,400550.0,164.17465915379833,Single Family Residential,Minnesota,2021
Orange,150000.0,132.30263154013693,Townhouse,Vermont,2021
Carter,232500.0,123.30917071124436,All Residential,Missouri,2021
Harrison,179500.0,103.43473342604834,Single Family Residential,Texas,2021
Arapahoe,491000.0,240.60336119459728,All Residential,Colorado,2021
Lincoln,245557.0,143.53057241497382,Single Family Residential,Missouri,2021
Rogers,240000.0,116.91115073181412,Single Family Residential,Oklahoma,2021
Surry,226000.0,124.8747856844284,Townhouse,North Carolina,2021
